Country,NewInfections2014
Brazil,43055
Cambodia,856
Cameroon,47958
China,60317
Cote d'Ivoire,25485
DRC,29250
Ethiopia,22992
Haiti,6787
India,136254
Indonesia,69379
Jamaica,1471
Kenya,56353
Malawi,41814
Mozambique,87632
Myanmar,8664
Nigeria,227518
Pakistan,19519
South Africa,338258
South Sudan,18224
Tanzania,61728
Thailand,7902
Uganda,99693
Ukraine,14805
Vietnam,14901
Zambia,56283
Zimbabwe,63848
Russia,108470
Morocco,2033
Philippines,6368
